name,slug,sku,regular_price,stock_quantity,categories,tags,short_description,description,status,images
"FM451 & SEKT12T3 – Dao phay mặt hệ SE","sekt12t3-fm451","SEKT12T3-FM451","","","Dụng cụ ghép mảnh","SEKT12T3, SEET12T3, FM451","Dao phay mặt 45° dùng mảnh SEKT/SEET12T3, thích hợp phay mặt đa năng. Liên hệ tư vấn: 091 519 2325.","Dao phay mặt dòng FM451 sử dụng mảnh SEKT12T3 và SEET12T3, nhiều đường kính từ 50–160 mm, số me từ 3 đến 10, phù hợp gia công thô và tinh bề mặt phẳng.","draft",""
"FM454 & ODMT0605 – Dao phay mặt 8 cạnh","odmt0605-fm454","ODMT0605-FM454","","","Dụng cụ ghép mảnh","ODMT0605, FM454","Dao phay mặt 45° dùng mảnh ODMT 8 cạnh kinh tế. Liên hệ tư vấn: 091 519 2325.","Dòng FM454 dùng mảnh ODMT0605, đường kính 50–200 mm, 8 cạnh cắt giúp tối ưu chi phí trên mỗi cạnh.","draft",""
"FM452 & SNMX1306 – Dao phay mặt hạng nặng","snmx1306-fm452","SNMX1306-FM452","","","Dụng cụ ghép mảnh","SNMX1306, SNGX1306, FM452","Dao phay mặt 45° dùng mảnh SNMX/SNGX1306 hạng nặng. Liên hệ tư vấn: 091 519 2325.","FM452 là dòng dao phay mặt hạng nặng với mảnh SN1306, cho phép chiều sâu cắt lớn và độ cứng vững cao khi phay thô nặng.","draft",""
"FM752 & SNMX1306E – Dao phay mặt 75°","snmx1306e-fm752","SNMX1306E-FM752","","","Dụng cụ ghép mảnh","SNMX1306E, FM752","Dao phay mặt 75° dùng mảnh SNMX1306E, giảm lực cắt hướng kính. Liên hệ tư vấn: 091 519 2325.","Dòng FM752 với góc cắt 75° giúp giảm lực hướng kính, phù hợp gia công trên máy có độ cứng vững vừa phải.","draft",""
"FM882 & SNMX1306Z – Dao phay mặt 88°","snmx1306z-fm882","SNMX1306Z-FM882","","","Dụng cụ ghép mảnh","SNMX1306Z, FM882","Dao phay mặt 88° dùng mảnh SNMX1306Z, góc tiếp cận lớn. Liên hệ tư vấn: 091 519 2325.","FM882 dùng mảnh SNMX1306Z, cho chiều sâu cắt lớn và góc tiếp xúc 88° để xử lý bề mặt vai gần 90°.","draft",""
"FM453 & ONMU – Dao phay mặt 16 cạnh","onmu-fm453","ONMU-FM453","","","Dụng cụ ghép mảnh","ONMU0504, ONMU0705, ONMU0906, FM453","Dao phay mặt 45° dùng mảnh ONMU 16 cạnh cắt. Liên hệ tư vấn: 091 519 2325.","FM453 dùng mảnh ONMU0504/0705/0906, mỗi insert có đến 16 cạnh, rất kinh tế khi phay mặt thô.","draft",""
"FM901 & APMT – Dao phay vai vuông 90°","apmt-fm901","APMT-FM901","","","Dụng cụ ghép mảnh","APMT1135, APMT1604, FM901","Dao phay vai vuông 90° phổ biến dùng mảnh APMT. Liên hệ tư vấn: 091 519 2325.","Dòng FM901 có dạng cán và dạng đĩa, dùng mảnh APMT1135 và APMT1604, phù hợp phay vai vuông đa dụng.","draft",""
"FM901F & BXKT11T3 – Đầu dao lắp ghép","bxkt11t3-fm901f","BXKT11T3-FM901F","","","Dụng cụ ghép mảnh","BXKT11T3, FM901F","Đầu dao modular dùng mảnh BXKT11T3. Liên hệ tư vấn: 091 519 2325.","FM901F là đầu dao lắp ghép ren M10/M12, tiện dụng khi cần thay đổi đường kính hoặc chiều dài cán, dùng mảnh BXKT11T3.","draft",""
"FM902 & TNGX1306 – Dao phay vai tam giác","tngx1306-fm902","TNGX1306-FM902","","","Dụng cụ ghép mảnh","TNGX1306, FM902","Dao phay vai vuông 90° dùng mảnh tam giác TNGX1306. Liên hệ tư vấn: 091 519 2325.","FM902 sử dụng mảnh TNGX1306 với 6 cạnh cắt, phù hợp phay vai với chiều sâu cắt lớn.","draft",""
"FM903 & WNMX – Dao phay vai trigon","wnmx-fm903","WNMX-FM903","","","Dụng cụ ghép mảnh","WNMX0403, WNMX0806, FM903","Dao phay vai 90° dùng mảnh WNMX trigon. Liên hệ tư vấn: 091 519 2325.","FM903 dùng mảnh WNMX0403/0806, cho phay vai 90° với bề mặt đẹp và lực cắt ổn định.","draft",""
