sku,name,slug,description,short_description,regular_price,sale_price,stock_quantity,categories,tags,images,status,attributes
ANMI-BTSKHIGHSP-001,BT-SK High Speed Tool Holder - Gá Kẹp Tốc Độ Cao,bt-sk-high-speed-tool-holder,"BT-SK High Speed Tool Holder với độ chính xác 0.003mm, tốc độ 40,000 RPM. Collet SK6-SK20, cân bằng G2.5. Phù hợp gia công khắc tinh, phay tốc độ cao.","BT-SK High Speed Tool Holder với độ chính xác 0.003mm, tốc độ 40,000 RPM. Collet SK6-SK20, cân bằng G2.5. Phù hợp gia công khắc tinh, phay tốc độ cao.",1800000,1620000,60,BT SIDE LOCK,"bt-sk holder, sk collet, high speed holder, gá kẹp tốc độ cao, cnc tool holder","https://anmitools.com/wp-content/uploads/products/bt-sk-high-speed-tool-holder-01.jpg, https://anmitools.com/wp-content/uploads/products/bt-sk-high-speed-tool-holder-02.jpg",publish,"Size:BT30,BT40,BT50|Material:Steel,Alloy Steel|Balance Grade:G2.5,G6.3"
ANMI-BTGERHIGHS-002,BT-GER High Speed ER Collet Chuck - Gá Kẹp ER Tốc Độ Cao,bt-ger-high-speed-er-collet-chuck,"BT-GER High Speed ER Collet Chuck với độ chính xác 0.003mm, tốc độ 30,000 RPM. ER collet ER16-ER32, cân bằng G2.5.","BT-GER High Speed ER Collet Chuck với độ chính xác 0.003mm, tốc độ 30,000 RPM. ER collet ER16-ER32, cân bằng G2.5.",1800000,1620000,100,BT SIDE LOCK,"bt-ger, er collet, high speed, gá kẹp er, cnc tool holder","https://anmitools.com/wp-content/uploads/products/bt-ger-high-speed-er-collet-chuck-01.jpg, https://anmitools.com/wp-content/uploads/products/bt-ger-high-speed-er-collet-chuck-02.jpg",publish,"Size:BT30,BT40,BT50|Collet Size:ER8,ER11,ER16,ER20,ER25,ER32,ER40|Material:Steel,Alloy Steel|Balance Grade:G2.5,G6.3"
ANMI-BTHGERHIGH-003,BT-HGER High Speed ER Collet Chuck,bt-hger-high-speed-er-collet-chuck,,BT-HGER High Speed ER Collet Chuck,1800000,1620000,80,BT SIDE LOCK,bt-hger high speed er collet,"https://anmitools.com/wp-content/uploads/products/bt-hger-high-speed-er-collet-chuck-01.jpg, https://anmitools.com/wp-content/uploads/products/bt-hger-high-speed-er-collet-chuck-02.jpg",publish,"Size:BT30,BT40,BT50|Collet Size:ER8,ER11,ER16,ER20,ER25,ER32,ER40|Material:Steel,Alloy Steel|Balance Grade:G2.5,G6.3"
ANMI-BTERCOLLET-004,BT-ER Collet Chuck Standard,bt-er-collet-chuck-standard,,BT-ER Collet Chuck Standard,1800000,1620000,100,BT SIDE LOCK,bt-er collet chuck,"https://anmitools.com/wp-content/uploads/products/bt-er-collet-chuck-standard-01.jpg, https://anmitools.com/wp-content/uploads/products/bt-er-collet-chuck-standard-02.jpg",publish,"Size:BT30,BT40,BT50|Collet Size:ER8,ER11,ER16,ER20,ER25,ER32,ER40|Material:Steel,Alloy Steel"
ANMI-BTCPOWERCH-005,BT-C Power Chuck Tool Holder,bt-c-power-chuck-tool-holder,,BT-C Power Chuck Tool Holder,1800000,1620000,150,BT SIDE LOCK,bt-c power chuck,"https://anmitools.com/wp-content/uploads/products/bt-c-power-chuck-tool-holder-01.jpg, https://anmitools.com/wp-content/uploads/products/bt-c-power-chuck-tool-holder-02.jpg",publish,"Size:BT30,BT40,BT50|Material:Steel,Alloy Steel"
ANMI-BTOZHEAVYD-006,BT-OZ Heavy Duty Tool Holder,bt-oz-heavy-duty-tool-holder,BT-OZ Heavy Duty Tool Holder - Giải pháp cán dao tải trọng nặng cho gia công CNC chính xác cao. Chất lượng Nhật Bản.,BT-OZ Heavy Duty Tool Holder - Giải pháp cán dao tải trọng nặng cho gia công CNC chính xác cao. Chất lượng Nhật Bản.,1800000,1620000,80,BT SIDE LOCK,"BT-OZ, heavy duty holder, tool holder, CNC machining","https://anmitools.com/wp-content/uploads/products/bt-oz-heavy-duty-tool-holder-01.jpg, https://anmitools.com/wp-content/uploads/products/bt-oz-heavy-duty-tool-holder-02.jpg",publish,"Size:BT30,BT40,BT50|Material:Steel,Alloy Steel"
ANMI-BTAPUDRILL-007,BT-APU Drill Chuck Holder,bt-apu-drill-chuck-holder,BT-APU Drill Chuck Holder - Giải pháp chuck khoan chính xác cao cho máy CNC. Chất lượng Nhật Bản.,BT-APU Drill Chuck Holder - Giải pháp chuck khoan chính xác cao cho máy CNC. Chất lượng Nhật Bản.,1800000,1620000,60,BT SIDE LOCK,"BT-APU, drill chuck holder, tool holder, CNC drilling","https://anmitools.com/wp-content/uploads/products/bt-apu-drill-chuck-holder-01.jpg, https://anmitools.com/wp-content/uploads/products/bt-apu-drill-chuck-holder-02.jpg",publish,"Size:BT30,BT40,BT50|Material:Steel,Alloy Steel"
ANMI-BTFMAFACEM-008,BT-FMA Face Milling Arbor,bt-fma-face-milling-arbor,BT-FMA Face Milling Arbor - Giải pháp trục gá dao phay mặt chính xác cao cho CNC. Chất lượng Nhật Bản.,BT-FMA Face Milling Arbor - Giải pháp trục gá dao phay mặt chính xác cao cho CNC. Chất lượng Nhật Bản.,1500000,1350000,100,BT SIDE LOCK,"BT-FMA, face milling arbor, tool holder, CNC milling","https://anmitools.com/wp-content/uploads/products/bt-fma-face-milling-arbor-01.jpg, https://anmitools.com/wp-content/uploads/products/bt-fma-face-milling-arbor-02.jpg",publish,"Size:BT30,BT40,BT50|Material:Steel,Alloy Steel"
ANMI-BTFMBFACEM-009,BT-FMB Face Milling Arbor,bt-fmb-face-milling-arbor,BT-FMB Face Milling Arbor - Giải pháp trục gá dao phay mặt chính xác cao cho CNC. Chất lượng Nhật Bản.,BT-FMB Face Milling Arbor - Giải pháp trục gá dao phay mặt chính xác cao cho CNC. Chất lượng Nhật Bản.,1500000,1350000,80,BT SIDE LOCK,"BT-FMB, face milling arbor, tool holder, CNC milling","https://anmitools.com/wp-content/uploads/products/bt-fmb-face-milling-arbor-01.jpg, https://anmitools.com/wp-content/uploads/products/bt-fmb-face-milling-arbor-02.jpg",publish,"Size:BT30,BT40,BT50|Material:Steel,Alloy Steel"
ANMI-BTSLAWELDO-010,BT-SLA Weldon Tool Holder,bt-sla-weldon-tool-holder,BT-SLA Weldon Tool Holder - Giải pháp cán dao Weldon chính xác cao cho CNC. Chất lượng Nhật Bản.,BT-SLA Weldon Tool Holder - Giải pháp cán dao Weldon chính xác cao cho CNC. Chất lượng Nhật Bản.,1800000,1620000,150,BT SIDE LOCK,"BT-SLA, weldon holder, tool holder, CNC machining","https://anmitools.com/wp-content/uploads/products/bt-sla-weldon-tool-holder-01.jpg, https://anmitools.com/wp-content/uploads/products/bt-sla-weldon-tool-holder-02.jpg",publish,"Size:BT30,BT40,BT50|Material:Steel,Alloy Steel"
ANMI-BTMTAMORSE-011,BT-MTA Morse Taper (with Pull Stud),bt-mta-morse-taper-pull-stud,BT-MTA Morse Taper with Pull Stud - Giải pháp cán dao côn Morse chính xác cao cho CNC. Chất lượng Nhật Bản.,BT-MTA Morse Taper with Pull Stud - Giải pháp cán dao côn Morse chính xác cao cho CNC. Chất lượng Nhật Bản.,1800000,1620000,60,BT SIDE LOCK,"BT-MTA, morse taper, tool holder, pull stud, CNC","https://anmitools.com/wp-content/uploads/products/bt-mta-morse-taper-pull-stud-01.jpg, https://anmitools.com/wp-content/uploads/products/bt-mta-morse-taper-pull-stud-02.jpg",publish,"Size:BT30,BT40,BT50|Material:Steel,Alloy Steel"
ANMI-BTMTBMORSE-012,BT-MTB Morse Taper (with Nut),bt-mtb-morse-taper-nut,BT-MTB Morse Taper with Nut - Giải pháp cán dao côn Morse kiểu đai ốc cho CNC. Chất lượng Nhật Bản.,BT-MTB Morse Taper with Nut - Giải pháp cán dao côn Morse kiểu đai ốc cho CNC. Chất lượng Nhật Bản.,1800000,1620000,80,BT SIDE LOCK,"BT-MTB, morse taper, tool holder, nut type, CNC","https://anmitools.com/wp-content/uploads/products/bt-mtb-morse-taper-nut-01.jpg, https://anmitools.com/wp-content/uploads/products/bt-mtb-morse-taper-nut-02.jpg",publish,"Size:BT30,BT40,BT50|Material:Steel,Alloy Steel"
ANMI-BTSLOOILFE-013,BT-SLO Oil-Feed Side Lock Tool Holder,bt-slo-oil-feed-side-lock,BT-SLO Oil-Feed Side Lock Tool Holder - Giải pháp cán dao cung cấp dầu trực tiếp cho CNC. Chất lượng Nhật Bản.,BT-SLO Oil-Feed Side Lock Tool Holder - Giải pháp cán dao cung cấp dầu trực tiếp cho CNC. Chất lượng Nhật Bản.,1800000,1620000,60,BT SIDE LOCK,"BT-SLO, oil feed holder, side lock, CNC machining","https://anmitools.com/wp-content/uploads/products/bt-slo-oil-feed-side-lock-01.jpg, https://anmitools.com/wp-content/uploads/products/bt-slo-oil-feed-side-lock-02.jpg",publish,"Size:BT30,BT40,BT50|Material:Steel,Alloy Steel"
ANMI-BTEROOILFE-014,BT-ERO Oil-Feed ER Collet Tool Holder,bt-ero-oil-feed-er-collet,BT-ERO Oil-Feed ER Collet Tool Holder - Giải pháp cán dao ER với cung cấp dầu trực tiếp cho CNC. Chất lượng Nhật Bản.,BT-ERO Oil-Feed ER Collet Tool Holder - Giải pháp cán dao ER với cung cấp dầu trực tiếp cho CNC. Chất lượng Nhật Bản.,1800000,1620000,100,BT SIDE LOCK,"BT-ERO, oil feed, ER collet, tool holder, CNC","https://anmitools.com/wp-content/uploads/products/bt-ero-oil-feed-er-collet-01.jpg, https://anmitools.com/wp-content/uploads/products/bt-ero-oil-feed-er-collet-02.jpg",publish,"Size:BT30,BT40,BT50|Collet Size:ER8,ER11,ER16,ER20,ER25,ER32,ER40|Material:Steel,Alloy Steel"
ANMI-BTSDCHIGHP-015,BT-SDC High Precision Tool Holder,bt-sdc-high-precision-tool-holder,BT-SDC High Precision Tool Holder - Giải pháp cán dao độ chính xác cao cho gia công CNC. Chất lượng Nhật Bản.,BT-SDC High Precision Tool Holder - Giải pháp cán dao độ chính xác cao cho gia công CNC. Chất lượng Nhật Bản.,1800000,1620000,150,BT SIDE LOCK,"BT-SDC, high precision, tool holder, CNC machining","https://anmitools.com/wp-content/uploads/products/bt-sdc-high-precision-tool-holder-01.jpg, https://anmitools.com/wp-content/uploads/products/bt-sdc-high-precision-tool-holder-02.jpg",publish,"Size:BT30,BT40,BT50|Material:Steel,Alloy Steel|Precision:±0.003mm,±0.005mm"
ANMI-BTSRSHRINK-016,BT-SR Shrink Fit Chuck,bt-sr-shrink-fit-chuck,BT-SR Shrink Fit Chuck - Giải pháp chuck co nhiệt chính xác cao cho gia công CNC. Chất lượng Nhật Bản.,BT-SR Shrink Fit Chuck - Giải pháp chuck co nhiệt chính xác cao cho gia công CNC. Chất lượng Nhật Bản.,3500000,3150000,100,BT-SHR,"BT-SR, shrink fit, chuck, tool holder, CNC","https://anmitools.com/wp-content/uploads/products/bt-sr-shrink-fit-chuck-01.jpg, https://anmitools.com/wp-content/uploads/products/bt-sr-shrink-fit-chuck-02.jpg",publish,"Size:BT30,BT40,BT50|Material:Steel,Alloy Steel"
ANMI-BTHSHYDRAU-017,BT-HS Hydraulic Chuck,bt-hs-hydraulic-chuck,BT-HS Hydraulic Chuck - Giải pháp chuck thủy lực chính xác cao cho gia công CNC. Chất lượng Nhật Bản.,BT-HS Hydraulic Chuck - Giải pháp chuck thủy lực chính xác cao cho gia công CNC. Chất lượng Nhật Bản.,3200000,2880000,60,BT SIDE LOCK,"BT-HS, hydraulic chuck, tool holder, CNC","https://anmitools.com/wp-content/uploads/products/bt-hs-hydraulic-chuck-01.jpg, https://anmitools.com/wp-content/uploads/products/bt-hs-hydraulic-chuck-02.jpg",publish,"Size:BT30,BT40,BT50|Material:Steel,Alloy Steel"
ANMI-HSKSRSHRIN-018,HSK-SR Shrink Fit Chuck,hsk-sr-shrink-fit-chuck,HSK-SR Shrink Fit Chuck - Giải pháp chuck co nhiệt HSK chính xác cao cho CNC. Chất lượng Nhật Bản.,HSK-SR Shrink Fit Chuck - Giải pháp chuck co nhiệt HSK chính xác cao cho CNC. Chất lượng Nhật Bản.,3500000,3150000,80,HSK,"HSK-SR, shrink fit, chuck, tool holder, CNC","https://anmitools.com/wp-content/uploads/products/hsk-sr-shrink-fit-chuck-01.jpg, https://anmitools.com/wp-content/uploads/products/hsk-sr-shrink-fit-chuck-02.jpg",publish,"Type:HSK-A63,HSK-A100,HSK-E63|Material:Steel,Alloy Steel"
ANMI-HSKERTOOLH-019,HSK-ER Tool Holder,hsk-er-tool-holder,HSK-ER Tool Holder - Giải pháp cán dao HSK-ER chính xác cao cho gia công CNC. Chất lượng Nhật Bản.,HSK-ER Tool Holder - Giải pháp cán dao HSK-ER chính xác cao cho gia công CNC. Chất lượng Nhật Bản.,2500000,2250000,60,HSK,"HSK-ER, tool holder, ER collet, CNC machining","https://anmitools.com/wp-content/uploads/products/hsk-er-tool-holder-01.jpg, https://anmitools.com/wp-content/uploads/products/hsk-er-tool-holder-02.jpg",publish,"Type:HSK-A63,HSK-A100,HSK-E63|Material:Steel,Alloy Steel"
ANMI-HSKGSKTOOL-020,HSK-GSK Tool Holder,hsk-gsk-tool-holder,HSK-GSK Tool Holder - Giải pháp cán dao HSK-GSK chính xác cao cho gia công CNC. Chất lượng Nhật Bản.,HSK-GSK Tool Holder - Giải pháp cán dao HSK-GSK chính xác cao cho gia công CNC. Chất lượng Nhật Bản.,2500000,2250000,150,HSK,"HSK-GSK, tool holder, CNC machining","https://anmitools.com/wp-content/uploads/products/hsk-gsk-tool-holder-01.jpg, https://anmitools.com/wp-content/uploads/products/hsk-gsk-tool-holder-02.jpg",publish,"Type:HSK-A63,HSK-A100,HSK-E63|Material:Steel,Alloy Steel"
ANMI-HSKHSHYDRA-021,HSK-HS Hydraulic Chuck,hsk-hs-hydraulic-chuck,HSK-HS Hydraulic Chuck - Giải pháp chuck thủy lực HSK chính xác cao cho CNC. Chất lượng Nhật Bản.,HSK-HS Hydraulic Chuck - Giải pháp chuck thủy lực HSK chính xác cao cho CNC. Chất lượng Nhật Bản.,3200000,2880000,80,HSK,"HSK-HS, hydraulic chuck, tool holder, CNC","https://anmitools.com/wp-content/uploads/products/hsk-hs-hydraulic-chuck-01.jpg, https://anmitools.com/wp-content/uploads/products/hsk-hs-hydraulic-chuck-02.jpg",publish,"Type:HSK-A63,HSK-A100,HSK-E63|Material:Steel,Alloy Steel"
