ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
,simple,ANMI-BTSKHIGHSP-001,BT-SK High Speed Tool Holder - Gá Kẹp Tốc Độ Cao,1,0,visible,"BT-SK High Speed Tool Holder với độ chính xác 0.003mm, tốc độ 40,000 RPM. Collet SK6-SK20, cân bằng G2.5. Phù hợp gia công khắc tinh, phay tốc độ cao.","BT-SK High Speed Tool Holder với độ chính xác 0.003mm, tốc độ 40,000 RPM. Collet SK6-SK20, cân bằng G2.5. Phù hợp gia công khắc tinh, phay tốc độ cao.",,,taxable,,1,80,0,0,2,,,,1,,1620000,1800000,BT SIDE LOCK,"bt-sk holder, sk collet, high speed holder, gá kẹp tốc độ cao, cnc tool holder",,https://anmitools.com/wp-content/uploads/products/bt-sk-high-speed-tool-holder-01.jpg,,,,,,,,,0,Size,BT30 | BT40 | BT50,1,0,Material,Steel | Alloy Steel,1,0
,simple,ANMI-BTGERHIGHS-002,BT-GER High Speed ER Collet Chuck - Gá Kẹp ER Tốc Độ Cao,1,0,visible,"BT-GER High Speed ER Collet Chuck với độ chính xác 0.003mm, tốc độ 30,000 RPM. ER collet ER16-ER32, cân bằng G2.5.","BT-GER High Speed ER Collet Chuck với độ chính xác 0.003mm, tốc độ 30,000 RPM. ER collet ER16-ER32, cân bằng G2.5.",,,taxable,,1,100,0,0,2,,,,1,,1620000,1800000,BT SIDE LOCK,"bt-ger, er collet, high speed, gá kẹp er, cnc tool holder",,https://anmitools.com/wp-content/uploads/products/bt-ger-high-speed-er-collet-chuck-01.jpg,,,,,,,,,0,Size,BT30 | BT40 | BT50,1,0,Material,Steel | Alloy Steel,1,0
,simple,ANMI-BTHGERHIGH-003,BT-HGER High Speed ER Collet Chuck,1,0,visible,BT-HGER High Speed ER Collet Chuck,,,,taxable,,1,80,0,0,2,,,,1,,1620000,1800000,BT SIDE LOCK,,,https://anmitools.com/wp-content/uploads/products/bt-hger-high-speed-er-collet-chuck-01.jpg,,,,,,,,,0,Size,BT30 | BT40 | BT50,1,0,Material,Steel | Alloy Steel,1,0
,simple,ANMI-BTERCOLLET-004,BT-ER Collet Chuck Standard,1,0,visible,BT-ER Collet Chuck Standard,,,,taxable,,1,100,0,0,2,,,,1,,1620000,1800000,BT SIDE LOCK,,,https://anmitools.com/wp-content/uploads/products/bt-er-collet-chuck-standard-01.jpg,,,,,,,,,0,Size,BT30 | BT40 | BT50,1,0,Material,Steel | Alloy Steel,1,0
,simple,ANMI-BTCPOWERCH-005,BT-C Power Chuck Tool Holder,1,0,visible,BT-C Power Chuck Tool Holder,,,,taxable,,1,80,0,0,2,,,,1,,1620000,1800000,BT SIDE LOCK,,,https://anmitools.com/wp-content/uploads/products/bt-c-power-chuck-tool-holder-01.jpg,,,,,,,,,0,Size,BT30 | BT40 | BT50,1,0,Material,Steel | Alloy Steel,1,0
,simple,ANMI-BTOZHEAVYD-006,BT-OZ Heavy Duty Tool Holder,1,0,visible,BT-OZ Heavy Duty Tool Holder - Giải pháp cán dao tải trọng nặng cho gia công CNC chính xác cao. Chất lượng Nhật Bản.,BT-OZ Heavy Duty Tool Holder - Giải pháp cán dao tải trọng nặng cho gia công CNC chính xác cao. Chất lượng Nhật Bản.,,,taxable,,1,100,0,0,2,,,,1,,1620000,1800000,BT SIDE LOCK,"BT-OZ, heavy duty holder, tool holder, CNC machining",,https://anmitools.com/wp-content/uploads/products/bt-oz-heavy-duty-tool-holder-01.jpg,,,,,,,,,0,Size,BT30 | BT40 | BT50,1,0,Material,Steel | Alloy Steel,1,0
,simple,ANMI-BTAPUDRILL-007,BT-APU Drill Chuck Holder,1,0,visible,BT-APU Drill Chuck Holder - Giải pháp chuck khoan chính xác cao cho máy CNC. Chất lượng Nhật Bản.,BT-APU Drill Chuck Holder - Giải pháp chuck khoan chính xác cao cho máy CNC. Chất lượng Nhật Bản.,,,taxable,,1,80,0,0,2,,,,1,,1620000,1800000,BT SIDE LOCK,"BT-APU, drill chuck holder, tool holder, CNC drilling",,https://anmitools.com/wp-content/uploads/products/bt-apu-drill-chuck-holder-01.jpg,,,,,,,,,0,Size,BT30 | BT40 | BT50,1,0,Material,Steel | Alloy Steel,1,0
,simple,ANMI-BTFMAFACEM-008,BT-FMA Face Milling Arbor,1,0,visible,BT-FMA Face Milling Arbor - Giải pháp trục gá dao phay mặt chính xác cao cho CNC. Chất lượng Nhật Bản.,BT-FMA Face Milling Arbor - Giải pháp trục gá dao phay mặt chính xác cao cho CNC. Chất lượng Nhật Bản.,,,taxable,,1,100,0,0,2,,,,1,,1350000,1500000,BT SIDE LOCK,"BT-FMA, face milling arbor, tool holder, CNC milling",,https://anmitools.com/wp-content/uploads/products/bt-fma-face-milling-arbor-01.jpg,,,,,,,,,0,Size,BT30 | BT40 | BT50,1,0,Material,Steel | Alloy Steel,1,0
,simple,ANMI-BTFMBFACEM-009,BT-FMB Face Milling Arbor,1,0,visible,BT-FMB Face Milling Arbor - Giải pháp trục gá dao phay mặt chính xác cao cho CNC. Chất lượng Nhật Bản.,BT-FMB Face Milling Arbor - Giải pháp trục gá dao phay mặt chính xác cao cho CNC. Chất lượng Nhật Bản.,,,taxable,,1,80,0,0,2,,,,1,,1350000,1500000,BT SIDE LOCK,"BT-FMB, face milling arbor, tool holder, CNC milling",,https://anmitools.com/wp-content/uploads/products/bt-fmb-face-milling-arbor-01.jpg,,,,,,,,,0,Size,BT30 | BT40 | BT50,1,0,Material,Steel | Alloy Steel,1,0
,simple,ANMI-BTSLAWELDO-010,BT-SLA Weldon Tool Holder,1,0,visible,BT-SLA Weldon Tool Holder - Giải pháp cán dao Weldon chính xác cao cho CNC. Chất lượng Nhật Bản.,BT-SLA Weldon Tool Holder - Giải pháp cán dao Weldon chính xác cao cho CNC. Chất lượng Nhật Bản.,,,taxable,,1,100,0,0,2,,,,1,,1620000,1800000,BT SIDE LOCK,"BT-SLA, weldon holder, tool holder, CNC machining",,https://anmitools.com/wp-content/uploads/products/bt-sla-weldon-tool-holder-01.jpg,,,,,,,,,0,Size,BT30 | BT40 | BT50,1,0,Material,Steel | Alloy Steel,1,0
