Tên sản phẩm,Model,Shank (mm),Aperture (mm),Use Collet,Speed Ratio,Max rpm,short_description,description,parent_category,tags
Floating Reamer Holder,C25-ER11M,25,-,ER-11,-,-,"Floating Reamer Holder dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: C25-ER11M
Shank: 25
Aperture: -
Use Collet: ER-11
Speed Ratio: -
Max rpm: -","**Đặc điểm kỹ thuật:**
- Model: C25-ER11M
- Shank: 25
- Aperture: -
- Dùng collet: ER-11
- Tỉ số truyền: -
- Tốc độ tối đa: -

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"floating-reamer-holder, c25-er11m, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
Floating Reamer Holder,C22-ER11M,22,-,ER-11,-,-,"Floating Reamer Holder dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: C22-ER11M
Shank: 22
Aperture: -
Use Collet: ER-11
Speed Ratio: -
Max rpm: -","**Đặc điểm kỹ thuật:**
- Model: C22-ER11M
- Shank: 22
- Aperture: -
- Dùng collet: ER-11
- Tỉ số truyền: -
- Tốc độ tối đa: -

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"floating-reamer-holder, c22-er11m, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
Floating Reamer Holder (nhiều model),C16–C25.4,16–25.4,-,ER-11,-,-,"Floating Reamer Holder (nhiều model) dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: C16–C25.4
Shank: 16–25.4
Aperture: -
Use Collet: ER-11
Speed Ratio: -
Max rpm: -","**Đặc điểm kỹ thuật:**
- Model: C16–C25.4
- Shank: 16–25.4
- Aperture: -
- Dùng collet: ER-11
- Tỉ số truyền: -
- Tốc độ tối đa: -

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"floating-reamer-holder-(nhiều-model), c16–c25.4, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
Rotary Punching Tool Holder,-,19.05–25.4,-,-,-,-,"Rotary Punching Tool Holder dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: -
Shank: 19.05–25.4
Aperture: -
Use Collet: -
Speed Ratio: -
Max rpm: -","**Đặc điểm kỹ thuật:**
- Model: -
- Shank: 19.05–25.4
- Aperture: -
- Dùng collet: -
- Tỉ số truyền: -
- Tốc độ tối đa: -

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"rotary-punching-tool-holder, -, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
Front 4 Holes / Drilling Seat,GDF1801,25.4,-,-,-,-,"Front 4 Holes / Drilling Seat dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: GDF1801
Shank: 25.4
Aperture: -
Use Collet: -
Speed Ratio: -
Max rpm: -","**Đặc điểm kỹ thuật:**
- Model: GDF1801
- Shank: 25.4
- Aperture: -
- Dùng collet: -
- Tỉ số truyền: -
- Tốc độ tối đa: -

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"front-4-holes-/-drilling-seat, gdf1801, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
Front 3 Holes / Drilling Seat,GDF1207,19.05,-,-,1:1,31,"Front 3 Holes / Drilling Seat dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: GDF1207
Shank: 19.05
Aperture: -
Use Collet: -
Speed Ratio: 1:1
Max rpm: 31","**Đặc điểm kỹ thuật:**
- Model: GDF1207
- Shank: 19.05
- Aperture: -
- Dùng collet: -
- Tỉ số truyền: 1:1
- Tốc độ tối đa: 31

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"front-3-holes-/-drilling-seat, gdf1207, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
Back Drilling Seat (Center Water Outlet),GDE1025/10254,-,10.0,-,-,-,"Back Drilling Seat (Center Water Outlet) dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: GDE1025/10254
Shank: -
Aperture: 10.0
Use Collet: -
Speed Ratio: -
Max rpm: -","**Đặc điểm kỹ thuật:**
- Model: GDE1025/10254
- Shank: -
- Aperture: 10.0
- Dùng collet: -
- Tỉ số truyền: -
- Tốc độ tối đa: -

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"back-drilling-seat-(center-water-outlet), gde1025/10254, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
Reducing Sleeve,SAU825,31,25.4,-,-,-,"Reducing Sleeve dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: SAU825
Shank: 31
Aperture: 25.4
Use Collet: -
Speed Ratio: -
Max rpm: -","**Đặc điểm kỹ thuật:**
- Model: SAU825
- Shank: 31
- Aperture: 25.4
- Dùng collet: -
- Tỉ số truyền: -
- Tốc độ tối đa: -

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"reducing-sleeve, sau825, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
Reducing Sleeve,SAU819,-,19.05,-,-,-,"Reducing Sleeve dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: SAU819
Shank: -
Aperture: 19.05
Use Collet: -
Speed Ratio: -
Max rpm: -","**Đặc điểm kỹ thuật:**
- Model: SAU819
- Shank: -
- Aperture: 19.05
- Dùng collet: -
- Tỉ số truyền: -
- Tốc độ tối đa: -

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"reducing-sleeve, sau819, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
Front 3-Axis Bidirectional Power Seat,BSE707,31,7.0,ER11,1:1,6000,"Front 3-Axis Bidirectional Power Seat dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: BSE707
Shank: 31
Aperture: 7.0
Use Collet: ER11
Speed Ratio: 1:1
Max rpm: 6000","**Đặc điểm kỹ thuật:**
- Model: BSE707
- Shank: 31
- Aperture: 7.0
- Dùng collet: ER11
- Tỉ số truyền: 1:1
- Tốc độ tối đa: 6000

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"front-3-axis-bidirectional-power-seat, bse707, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
